notification_date;event_type;message;user_id;stimulus;target_component
2024-04-22 01:32:53;behavior;Serene Brown scrolled over Image.;3064;Scroll;Link
2024-04-22 01:32:53;behavior;Modest Williams scrolled over Button.;1351;Scroll;Form
2024-04-22 01:32:53;behavior;Zen Leakey clicked on Image component.;4127;Click;Button
2024-04-22 01:32:53;behavior;Reverent Wozniak searched for Form.;2621;Type;Button
2024-04-22 01:32:53;behavior;Cranky Lichterman hovered over Menu.;1299;Hover;Button
2024-04-22 01:32:53;behavior;Elated Bohr swiped Button.;5097;Swipe;Button
2024-04-22 01:32:53;behavior;User Wonderful Brattain visualized 1009.;1917;Visualization;Menu
2024-04-22 01:32:53;behavior;Wizardly Ellis swiped Form.;2448;Swipe;Menu
2024-04-22 01:32:53;behavior;Compassionate Lehmann clicked on Button component.;3723;Click;Button
2024-04-22 01:32:53;behavior;Quizzical Bohr scrolled over Link.;4809;Scroll;Form
2024-04-22 01:32:53;behavior;Musing Wilson swiped Image.;5249;Swipe;Menu
2024-04-22 01:32:53;behavior;Cranky Solomon clicked on Form component.;1548;Click;Button
2024-04-22 01:32:53;behavior;Quizzical Vaughan clicked on Menu component.;2363;Click;Image
2024-04-22 01:32:53;behavior;Peaceful Bouman scrolled over Link.;3618;Scroll;Image
2024-04-22 01:32:53;behavior;Blissful Keller scrolled over Image.;5587;Scroll;Button
2024-04-22 01:32:53;behavior;Eloquent Hofstadter hovered over Menu.;4299;Hover;Form
2024-04-22 01:32:53;behavior;Silly Mcnulty swiped Form.;4687;Swipe;Menu
2024-04-22 01:32:53;behavior;Suspicious Curie scrolled over Button.;3498;Scroll;Button
2024-04-22 01:32:53;behavior;Great Kare clicked on Form component.;1348;Click;Form
2024-04-22 01:32:53;behavior;Admiring Cori scrolled over Menu.;4370;Scroll;Button
2024-04-22 01:32:53;behavior;Quirky Ptolemy swiped Image.;1740;Swipe;Form
2024-04-22 01:32:53;behavior;Recursing Goldberg scrolled over Form.;4562;Scroll;Image
2024-04-22 01:32:53;behavior;User Condescending Ramanujan visualized 1001.;4813;Visualization;Form
2024-04-22 01:32:53;behavior;Boring Mendeleev searched for Image.;1701;Type;Menu
2024-04-22 01:32:53;behavior;Objective Mcclintock hovered over Form.;3109;Hover;Link
2024-04-22 01:32:53;behavior;Hopeful Tharp clicked on Form component.;3559;Click;Button
2024-04-22 01:32:53;behavior;Busy Matsumoto swiped Button.;3128;Swipe;Image
2024-04-22 01:32:53;behavior;User Jovial Antonelli visualized 1029.;3417;Visualization;Form
2024-04-22 01:32:53;behavior;User Eager Haibt visualized 1013.;2309;Visualization;Link
2024-04-22 01:32:53;behavior;Inspiring Shamir hovered over Image.;2097;Hover;Menu
2024-04-22 01:32:53;behavior;User Busy Brattain visualized 1032.;3631;Visualization;Form
2024-04-22 01:32:53;behavior;Condescending Mendel searched for Form.;2584;Type;Form
2024-04-22 01:32:53;behavior;User Laughing Booth visualized 1003.;5985;Visualization;Menu
