notification_date;event_type;message;target_component;linecode;severity
2024-04-22 00:43:46;failure;Error: Invalid input data occurred in Menu module.;Menu;1120;Critical
2024-04-22 00:43:46;failure;Error: Database connection lost occurred in Button module.;Menu;3051;Medium
2024-04-22 00:43:46;failure;Error: Server timeout occurred in Form module.;Image;5439;Medium
2024-04-22 00:43:46;failure;Error: Invalid input data occurred in Image module.;Image;5780;High
2024-04-22 00:43:46;failure;Error: Server timeout occurred in Image module.;Button;4508;Low
2024-04-22 00:43:46;failure;Error: Invalid input data occurred in Button module.;Image;2738;Critical
2024-04-22 00:43:46;failure;Error: Server timeout occurred in Image module.;Button;5831;Medium
2024-04-22 00:43:46;failure;Error: Server timeout occurred in Form module.;Form;4805;High
2024-04-22 00:43:46;failure;Error: Database connection lost occurred in Menu module.;Image;3162;Medium
2024-04-22 00:43:46;failure;Error: Server timeout occurred in Menu module.;Button;5477;Low
2024-04-22 00:43:46;failure;Error: Server timeout occurred in Form module.;Form;2112;Critical
2024-04-22 00:43:46;failure;Error: File not found occurred in Button module.;Image;6925;Medium
2024-04-22 00:43:46;failure;Error: File not found occurred in Button module.;Link;6727;Low
2024-04-22 00:43:46;failure;Error: Server timeout occurred in Form module.;Menu;7021;High
2024-04-22 00:43:46;failure;Error: Access denied occurred in Menu module.;Image;5593;High
2024-04-22 00:43:46;failure;Error: Server timeout occurred in Menu module.;Link;2925;High
2024-04-22 00:43:46;failure;Error: File not found occurred in Link module.;Link;9982;Low
2024-04-22 00:43:46;failure;Error: Database connection lost occurred in Button module.;Image;9861;High
2024-04-22 00:43:46;failure;Error: Invalid input data occurred in Image module.;Link;3984;Critical
2024-04-22 00:43:46;failure;Error: Access denied occurred in Menu module.;Button;6967;Medium
2024-04-22 00:43:46;failure;Error: File not found occurred in Menu module.;Menu;2227;Critical
2024-04-22 00:43:46;failure;Error: Invalid input data occurred in Menu module.;Link;3543;Medium
2024-04-22 00:43:46;failure;Error: Invalid input data occurred in Link module.;Image;3087;Critical
2024-04-22 00:43:46;failure;Error: File not found occurred in Menu module.;Menu;6034;High
2024-04-22 00:43:46;failure;Error: File not found occurred in Form module.;Menu;3997;Low
2024-04-22 00:43:46;failure;Error: Server timeout occurred in Form module.;Menu;8469;Medium
2024-04-22 00:43:46;failure;Error: Server timeout occurred in Link module.;Image;9556;High
2024-04-22 00:43:46;failure;Error: Database connection lost occurred in Image module.;Form;5822;Critical
2024-04-22 00:43:46;failure;Error: Database connection lost occurred in Image module.;Form;6475;Low
2024-04-22 00:43:46;failure;Error: Invalid input data occurred in Link module.;Image;4766;Medium
2024-04-22 00:43:46;failure;Error: File not found occurred in Form module.;Button;9912;Medium
2024-04-22 00:43:46;failure;Error: Invalid input data occurred in Menu module.;Menu;1637;Low
2024-04-22 00:43:46;failure;Error: Invalid input data occurred in Button module.;Image;3215;High
2024-04-22 00:43:46;failure;Error: Database connection lost occurred in Menu module.;Menu;2286;Medium
2024-04-22 00:43:46;failure;Error: Database connection lost occurred in Button module.;Button;9348;Critical
2024-04-22 00:43:46;failure;Error: Access denied occurred in Form module.;Form;3543;Medium
2024-04-22 00:43:46;failure;Error: Access denied occurred in Image module.;Menu;7449;Low
2024-04-22 00:43:46;failure;Error: Database connection lost occurred in Link module.;Link;8281;High
2024-04-22 00:43:46;failure;Error: Access denied occurred in Form module.;Button;8044;Low
2024-04-22 00:43:46;failure;Error: Access denied occurred in Image module.;Image;1850;Critical
2024-04-22 00:43:46;failure;Error: Database connection lost occurred in Button module.;Link;1783;Critical
2024-04-22 00:43:46;failure;Error: Invalid input data occurred in Button module.;Link;3906;Low
